ShipDate,OrderNumber,ItemCode,ItemDescription,OrderLocation,SKUCode,Department,UnitsSold,TotalNetRevenue,TotalCOGS,GrossMarginDollars,GrossMarginPercent,CurrentAverageCost,CurrentRetailPriceEach,Current_GM_Each,Class,Category,Sub_Class,Quarter
1/26/2007  12:00:00 AM,G0807152,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",244 - Seattle Studio,101738,LIGHTING,1.00,300.00,155.87,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/29/2007  12:00:00 AM,G0808075,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",225 - East 62nd Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/29/2007  12:00:00 AM,G0807216,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",228 - Cambridge Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/29/2007  12:00:00 AM,G0808935,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",241 - Tree Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/29/2007  12:00:00 AM,G0807573,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",248 - Atlanta Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/29/2007  12:00:00 AM,G0808988,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",285 - FlatIron Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/30/2007  12:00:00 AM,G0809655,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",275 - Santa Barbara Studio,101738,LIGHTING,2.00,600.00,311.73,288.27,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/31/2007  12:00:00 AM,G0809132,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/31/2007  12:00:00 AM,G0809943,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",285 - FlatIron Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
2/1/2007  12:00:00 AM,WEB0810858,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.87,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
